
GENERATION NUMBER,  1,

SELECTION STAGE 

EXPLORE,20,%,FITNESS,1
CLOSE,68,%,FITNESS,1
MID,16,%,FITNESS,1
FAR,16,%,FITNESS,1

GENERATION NUMBER,  6,

SELECTION STAGE 

KILL,11,%,FITNESS,1
FETCH,63,%,FITNESS,1
GATHER,18,%,FITNESS,7
EXPLORE,8,%,FITNESS,1
CLOSE,49,%,FITNESS,1
MID,39,%,FITNESS,1
FAR,12,%,FITNESS,1
FINAL STAGE 

KILL,12,%,FITNESS,1
FETCH,60,%,FITNESS,1
GATHER,24,%,FITNESS,7
EXPLORE,4,%,FITNESS,1
CLOSE,52,%,FITNESS,1
MID,40,%,FITNESS,1
FAR,8,%,FITNESS,1

GENERATION NUMBER,  7,

SELECTION STAGE 

KILL,15,%,FITNESS,3
FETCH,57,%,FITNESS,1
GATHER,22,%,FITNESS,12
EXPLORE,6,%,FITNESS,1
CLOSE,56,%,FITNESS,1
MID,34,%,FITNESS,2
FAR,10,%,FITNESS,1
FINAL STAGE 

KILL,32,%,FITNESS,3
FETCH,32,%,FITNESS,1
GATHER,32,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,44,%,FITNESS,1
MID,40,%,FITNESS,2
FAR,16,%,FITNESS,1

